year,geo,disagg,value,
2022,USA,Total,109262,
2022,SWE,Total,5810,
2022,JPN,Total,113139,
2022,DEU,Total,48060,
2022,FRA,Total,17350,
2022,CHN,Total,1083100,
2022,CAN,Total,15549,
2022,WLD,Total,1392270,
2022,USA,Blast oxygen furnace,36200,
2022,SWE,Blast oxygen furnace,3800,
2022,JPN,Blast oxygen furnace,82381,
2022,DEU,Blast oxygen furnace,36260,
2022,FRA,Blast oxygen furnace,11850,
2022,CHN,Blast oxygen furnace,803792,
2022,CAN,Blast oxygen furnace,9000,
2022,WLD,Blast oxygen furnace,983283,
2022,USA,Electric arc furnace,73062,
2022,SWE,Electric arc furnace,2010,
2022,JPN,Electric arc furnace,30758,
2022,DEU,Electric arc furnace,11800,
2022,FRA,Electric arc furnace,5500,
2022,CHN,Electric arc furnace,100978,
2022,CAN,Electric arc furnace,6549,
2022,WLD,Electric arc furnace,230657,
2022,USA,Open hearth furnace,0,
2022,SWE,Open hearth furnace,0,
2022,JPN,Open hearth furnace,0,
2022,DEU,Open hearth furnace,0,
2022,FRA,Open hearth furnace,0,
2022,CHN,Open hearth furnace,0,
2022,CAN,Open hearth furnace,0,
2022,WLD,Open hearth furnace,0,
2022,USA,Mixture,0,
2022,SWE,Mixture,0,
2022,JPN,Mixture,0,
2022,DEU,Mixture,0,
2022,FRA,Mixture,0,
2022,CHN,Mixture,178330,
2022,CAN,Mixture,0,
2022,WLD,Mixture,178330,
